path,classification,reason,delete_policy
CHATGPT_CHANGELOG_V0.8.4_AUTOTUNE_SYNC_CONTROLLER.md,autotune_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
CHATGPT_CHANGELOG_V0.8.5_APP_QT_CLOSURE.md,ui,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
PythonModule,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
app_qt.py,ui,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
cli_batch.py,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
config,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
core,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
docs,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
read_file_data.py,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
sample_data,core_runtime,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
ui,ui,"needed for current runtime, governance, AutoTune/Evidence track, or legacy fallback",do_not_delete_without_explicit_user_approval
docs/agent_contracts,expected_important_path,explicitly protected by project rules; may be absent in this zip snapshot,do_not_delete_without_explicit_user_approval
experiments/gprmax/AT-DATA-002-balanced-expansion,expected_important_path,explicitly protected by project rules; may be absent in this zip snapshot,do_not_delete_without_explicit_user_approval
scripts/autotune,expected_important_path,explicitly protected by project rules; may be absent in this zip snapshot,do_not_delete_without_explicit_user_approval
